iter	Passed	Remaining
447	1073	1322
448	1074	1318
449	1075	1314
450	1076	1310
451	1078	1307
452	1079	1303
453	1080	1299
454	1081	1295
455	1082	1291
456	1084	1288
457	1085	1284
458	1086	1281
459	1087	1277
460	1089	1273
461	1090	1269
462	1091	1265
463	1092	1262
464	1093	1258
465	1094	1254
466	1095	1250
467	1097	1247
468	1098	1243
469	1099	1239
470	1100	1236
471	1102	1232
472	1103	1229
473	1104	1225
474	1105	1221
475	1106	1218
476	1107	1214
477	1108	1210
478	1109	1207
479	1110	1203
480	1112	1199
481	1113	1196
482	1114	1193
483	1115	1189
484	1117	1186
485	1118	1182
486	1119	1179
487	1120	1175
488	1121	1172
489	1122	1168
490	1124	1165
491	1125	1161
492	1126	1158
493	1127	1154
494	1128	1151
495	1129	1148
496	1131	1144
497	1132	1141
498	1133	1137
499	1134	1134
500	1135	1131
501	1136	1127
502	1137	1124
503	1139	1120
504	1140	1117
505	1141	1114
506	1142	1110
507	1143	1107
508	1144	1104
509	1145	1100
510	1147	1097
511	1148	1094
512	1149	1091
513	1150	1087
514	1151	1084
515	1152	1081
516	1153	1077
517	1155	1074
518	1156	1071
519	1157	1068
520	1158	1065
521	1159	1061
522	1160	1058
523	1161	1055
524	1163	1052
525	1164	1049
526	1165	1045
527	1166	1042
528	1167	1039
529	1168	1036
530	1169	1033
531	1170	1030
532	1172	1027
533	1173	1023
534	1174	1020
535	1175	1017
536	1176	1014
537	1178	1011
538	1179	1008
539	1180	1005
540	1181	1002
541	1182	999
542	1183	996
543	1184	992
544	1185	989
545	1186	986
546	1187	983
547	1188	980
548	1189	976
549	1190	973
550	1191	970
551	1192	967
552	1193	964
553	1194	961
554	1195	958
555	1195	955
556	1196	951
557	1197	948
558	1198	945
559	1199	942
560	1200	939
561	1201	936
562	1203	933
563	1204	930
564	1205	928
565	1206	925
566	1207	922
567	1208	919
568	1209	916
569	1210	913
570	1211	910
571	1212	907
572	1213	904
573	1214	901
574	1215	898
575	1216	895
576	1217	892
577	1218	889
578	1219	886
579	1220	883
580	1221	880
581	1222	877
582	1223	874
583	1224	871
584	1225	869
585	1226	866
586	1227	863
587	1228	860
588	1229	857
589	1230	855
590	1231	852
591	1232	849
592	1234	846
593	1235	844
594	1236	841
595	1237	838
596	1238	836
597	1240	833
598	1241	830
599	1242	828
600	1243	825
601	1244	822
602	1246	820
603	1247	817
604	1248	815
605	1249	812
606	1250	809
607	1251	807
608	1252	804
609	1253	801
610	1254	798
611	1255	796
612	1257	793
613	1258	791
614	1259	788
615	1260	785
616	1261	783
617	1262	780
618	1263	777
619	1264	775
620	1265	772
621	1266	769
622	1267	767
623	1268	764
624	1269	761
625	1270	759
626	1271	756
627	1272	753
628	1273	750
629	1274	748
630	1275	745
631	1276	743
632	1277	740
633	1277	737
634	1278	735
635	1279	732
636	1280	729
637	1281	727
638	1282	724
639	1283	721
640	1284	719
641	1285	716
642	1286	714
643	1287	711
644	1288	708
645	1289	706
646	1290	703
647	1291	701
648	1291	698
649	1292	696
650	1293	693
651	1294	691
652	1295	688
653	1296	685
654	1297	683
655	1298	680
656	1299	678
657	1300	675
658	1301	673
659	1301	670
660	1302	668
661	1303	665
662	1304	663
663	1305	660
664	1306	658
665	1307	655
666	1308	653
667	1309	650
668	1310	648
669	1311	645
670	1312	643
671	1313	641
672	1314	638
673	1315	636
674	1316	633
675	1317	631
676	1318	628
677	1319	626
678	1320	624
679	1320	621
680	1321	619
681	1323	616
682	1324	614
683	1324	612
684	1326	609
685	1326	607
686	1327	604
687	1328	602
688	1329	600
689	1330	597
690	1331	595
691	1332	593
692	1333	590
693	1334	588
694	1335	586
695	1336	583
696	1337	581
697	1338	579
698	1339	576
699	1340	574
700	1341	572
701	1342	569
702	1343	567
703	1343	565
704	1344	562
705	1345	560
706	1346	558
707	1347	555
708	1348	553
709	1349	551
710	1350	549
711	1351	546
712	1352	544
713	1353	542
714	1354	539
715	1355	537
716	1356	535
717	1357	533
718	1358	530
719	1359	528
720	1359	526
721	1361	524
722	1361	521
723	1362	519
724	1363	517
725	1364	515
726	1365	512
727	1366	510
728	1367	508
729	1368	506
730	1369	503
731	1370	501
732	1371	499
733	1372	497
734	1373	495
735	1374	492
736	1375	490
737	1376	488
738	1377	486
739	1378	484
740	1378	481
741	1379	479
742	1380	477
743	1381	475
744	1382	473
745	1383	471
746	1384	468
747	1385	466
748	1386	464
749	1387	462
750	1388	460
751	1389	458
752	1389	455
753	1390	453
754	1391	451
755	1392	449
756	1393	447
757	1394	445
758	1395	443
759	1396	441
760	1397	438
761	1398	436
762	1399	434
763	1400	432
764	1401	430
765	1402	428
766	1403	426
767	1404	424
768	1405	422
769	1406	419
770	1406	417
771	1407	415
772	1408	413
773	1409	411
774	1410	409
775	1411	407
776	1412	405
777	1413	403
778	1414	401
779	1415	399
780	1416	397
781	1417	395
782	1418	393
783	1419	390
784	1419	388
785	1420	386
786	1421	384
787	1422	382
788	1423	380
789	1424	378
790	1425	376
791	1426	374
792	1427	372
793	1428	370
794	1429	368
795	1430	366
796	1431	364
797	1432	362
798	1433	360
799	1434	358
800	1435	356
801	1435	354
802	1436	352
803	1437	350
804	1438	348
805	1439	346
806	1440	344
807	1441	342
808	1442	340
809	1443	338
810	1444	336
811	1445	334
812	1446	332
813	1447	330
814	1448	328
815	1449	326
816	1450	324
817	1451	322
818	1452	320
819	1453	319
820	1454	317
821	1455	315
822	1456	313
823	1457	311
824	1458	309
825	1459	307
826	1460	305
827	1461	303
828	1462	301
829	1463	299
830	1464	297
831	1465	295
832	1465	293
833	1466	291
834	1468	290
835	1469	288
836	1469	286
837	1470	284
838	1471	282
839	1472	280
840	1473	278
841	1474	276
842	1475	274
843	1476	272
844	1477	271
845	1478	269
846	1479	267
847	1480	265
848	1481	263
849	1482	261
850	1483	259
851	1484	257
852	1485	256
853	1486	254
854	1487	252
855	1488	250
856	1489	248
857	1490	246
858	1491	244
859	1492	242
860	1493	241
861	1494	239
862	1495	237
863	1496	235
864	1497	233
865	1498	231
866	1499	230
867	1500	228
868	1501	226
869	1502	224
870	1503	222
871	1504	220
872	1505	218
873	1506	217
874	1506	215
875	1507	213
876	1508	211
877	1509	209
878	1510	207
879	1511	206
880	1512	204
881	1513	202
882	1514	200
883	1515	198
884	1516	197
885	1517	195
886	1518	193
887	1519	191
888	1520	189
889	1521	188
890	1522	186
891	1523	184
892	1524	182
893	1525	180
894	1526	179
895	1527	177
896	1528	175
897	1529	173
898	1530	171
899	1531	170
900	1532	168
901	1533	166
902	1534	164
903	1535	163
904	1536	161
905	1537	159
906	1538	157
907	1539	155
908	1540	154
909	1541	152
910	1543	150
911	1544	148
912	1545	147
913	1546	145
914	1547	143
915	1548	141
916	1549	140
917	1550	138
918	1551	136
919	1551	134
920	1553	133
921	1554	131
922	1555	129
923	1556	127
924	1557	126
925	1558	124
926	1559	122
927	1559	121
928	1560	119
929	1561	117
930	1562	115
931	1563	114
932	1564	112
933	1565	110
934	1566	108
935	1567	107
936	1568	105
937	1569	103
938	1570	102
939	1571	100
940	1572	98
941	1573	96
942	1574	95
943	1575	93
944	1576	91
945	1577	90
946	1578	88
947	1579	86
948	1580	84
949	1581	83
950	1581	81
951	1583	79
952	1583	78
953	1585	76
954	1586	74
955	1587	73
956	1588	71
957	1589	69
958	1590	67
959	1591	66
960	1591	64
961	1592	62
962	1593	61
963	1594	59
964	1595	57
965	1596	56
966	1597	54
967	1598	52
968	1599	51
969	1600	49
970	1601	47
971	1602	46
972	1603	44
973	1604	42
974	1605	41
975	1606	39
976	1607	37
977	1608	36
978	1609	34
979	1610	32
980	1611	31
981	1612	29
982	1613	27
983	1614	26
984	1615	24
985	1616	22
986	1617	21
987	1618	19
988	1619	18
989	1620	16
990	1621	14
991	1622	13
992	1623	11
993	1624	9
994	1625	8
995	1626	6
996	1627	4
997	1627	3
998	1628	1
999	1630	0
